Genus	Phylum	Status	Source
Ramaria	Basidiomycota	Possible	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45 (ECM/Not ECM);Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263 (pro parte); http://mycorrhizas.info/ecmf.html (ECM)"
Rapacea	Basidiomycota	Highly Probable	"Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Reddellomyces	Ascomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Retiboletus	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Rhizoctonia	Basidiomycota	Possible	List compiled by Sara Branco with input from Nhu Nguyen and Else Vellinga
Rhizopogon	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Rhodactina	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Rhodogaster	Basidiomycota	Possible	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45 (ECM/Not ECM); Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263 (ECM); http://mycorrhizas.info/ecmf.html (ECM)"
Rhopalogaster	Basidiomycota	Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45"
Richoniella	Basidiomycota	Possible	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45 (ECM/Not ECM); Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263 (ECM); http://mycorrhizas.info/ecmf.html (ECM)"
Riessia	Basidiomycota	Possible	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45 (ECM); Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263 (ECM/Not ECM)"
Riessiella	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Rossbeevera	Basidiomycota	Highly Probable	List compiled by Sara Branco with input from Nhu Nguyen and Else Vellinga
Royoungia	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Rozites	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Rubinoboletus	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Ruhlandiella	Ascomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Russula	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Sarcodon	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Sarcosphaera	Ascomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Scabropezia	Ascomycota	Conflicting Reports	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45 (not ECM); Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263 (ECM)"
Scleroderma	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Sclerogaster	Basidiomycota	Possible	http://mycorrhizas.info/ecmf.html (ECM/Not ECM)
